Well_ID	Condition
O19	Condition_019
O20	Condition_020
O21	Condition_021
O22	Condition_022
O23	Condition_023
O24	Condition_024
P01	Condition_001
P02	Condition_002
P03	Condition_003
P04	Condition_004
P05	Condition_005
P06	Condition_006
P07	Condition_007
P08	Condition_008
P09	Condition_009
P10	Condition_010
P11	Condition_011
P12	Condition_012
P13	Condition_013
P14	Condition_014
P15	Condition_015
P16	Condition_016
P17	Condition_017
P18	Condition_018
P19	Condition_019
P20	Condition_020
P21	Condition_021
P22	Condition_022
P23	Condition_023
P24	Condition_024
